ID, Name , HP, BrainType, Weapon , Scale, PrefabPath, InvincibleTimeMs, KnockbackThreshold, KnockbackPercent, ContactDamage, DamageReduction, Speed, AnimFPS, AttackInterval(接觸攻擊間隔秒/攻速/越小攻越快/空為0.5), DetectionRange, DisplayName(顯示名/boss開戰資訊用/空退回Name), PortraitPath(頭像立繪catalog id/例Modules/關卡/Talk/xxx), 句子1(格式:文字/或 N%:文字=血量剩N%才會講), 句子2, 句子3, 句子4, Faction(陣營/空=Enemy/可填:Werewolf狼人/Vampire吸血鬼/Neutral中立),IdleScale(idle 顯示倍率/留空=自動依可見高對齊/手填會覆寫自動),WalkScale(walk 顯示倍率/同上),AttackScale(attack 顯示倍率/同上/pant 沿用 idle 的),JumpScale(jump 顯示倍率/留空=沿用 IdleScale 不做自動高度對齊/理由見 BOSS_MODULE §9.7),LeapDamage(跳躍踐踏傷害/僅BrainType=LeapSlam用/空=接觸傷害x2),LeapRadius(踐踏殺傷半徑世界單位/空=1.6/裂痕視覺為此x1.47),AttackHitFrame(揮舞型近戰的命中幀/attack第幾張是武器揮到位/空=張數x0.7粗估/務必逐怪量),ReleaseFrame(射手型放彈幀/attack第幾張是「武器已舉定可以射」/僅BrainType=Archer用/空=14/幀號即事件所以改AnimFPS時機自動跟著對),BombDamage(自爆傷害/僅BrainType=SuicideBomb用/空=ContactDamage x3),BombRadius(自爆殺傷半徑世界單位/空=1.8/⚠實際殺傷=此值+目標碰撞框半徑(玩家約0.5)),BombFuse(引信秒數/貼近後站定閃爍幾秒才爆/空=0.6/進了引信就一定會爆)
11,Ghost_YoungBrother, 3, Chase    , Contact,1,           ,                0,1,120, 10,               0,     1,       8,,25,,,大俠，請幫幫我們吧,我不想傷害你,求你救我,,,,,,,,,,,,,
12,Ghost_YoungSister, 3, Chase    , Contact,1,           ,                0,1,120, 10,               0,     1,       8,,25,,,大俠，請幫幫我們吧,我不想傷害你,求你救我,,,,,,,,,,,,,
13,RedBridalGown,50,RedBridalGown,14,1,,0,10,50,20,0,3.5,25,,30,紅嫁衣,Modules/RedBridalGown/Talk/redBridalGown_angry,你竟然對我家人動手,我本不想傷害你,受死吧,50%: 家人們，一起出來吧,,,,,,,,,,,,
14,BanyanTree,100,BanyanTree,Contact,1,,0,0,0,0,0,0,8,,40,榕樹妖,Modules/RedBridalGown/Talk/treeFace_vicious,不管生死，都得服侍我,這一家人的亡魂，都在我這,70%: 你真的惹怒我了,30%: 讓你魂歸西天，死吧!,,,,,,,,,,,,
15,VampireSoldier,30,MeleeChase, Contact,1,           ,                0,1,120, 10,               0,     1,       8,,25,,,,,,,,,,,,,,11,,,,
16,WerewolfSoldier,30,MeleeChase, Contact,1,           ,                0,1,120, 10,               0,3,14,,25,,,,,,,,1.1,,,,,,8,,,,
17,Wolf Warrior,40,Pounce,Contact,1,,0,10,50,10,0,3.5,14,0.8,25,戰狼,,,,,,Werewolf,,0.733,,,,,,,,,
18,Wolf Archers,25,Archer,33,1,,0,10,50,5,0,3,14,0.8,25,狂族弩手,,,,,,Werewolf,1.1,,,,,,,,,,
19,Wolf Royal Guard,45,LeapSlam,Contact,1.5,,0,10,50,12,0,3.2,13,0.8,25,狂族皇家衛士,,,,,,Werewolf,,,,1.2,,,9,,,,
20,ZhaYu_HugeSword,35,MeleeChase,Contact,1.2,,0,10,50,12,0,2.5,14,0.9,25,,,,,,,,,,1.1,,,,12,,,,
21,ZhaYu_Gun,25,Archer,34,1.1,,0,10,50,5,0,2.2,14,0.8,25,,,,,,,,,,,,,,,14,,,
22,ZhaYu_Bomb,15,SuicideBomb,Contact,1.5,,0,10,50,10,0,1.5,12,,25,,,,,,,,,,,,,,,,30,1.8,0.6
