"Key(角色種類/角色/動作: Characters/<系列>/<血統>/<動作> 或 Monsters/<怪名>/<動作>, 角色可多層, 不分大小寫)",AnchorX(影子中心X px/相對畫布中心/+右/未翻面方向),AnchorY(影子中心Y px/從畫布底往上/=可見腳底),WidthPx(影子寬 px/BlobShadow 再乘 WidthFactor),Source(auto=工具算的會被重算/manual=手改永不覆寫),Frames(算時幀數/幀數變了只算新的也會重算 auto 列),CanvasW(畫布寬 px),CanvasH(畫布高 px),Note(備註)
characters/jiangshi/hanba/walk,-1,43,90,manual,25,256,256,2026-09-03 手改：同 idle：改成兩腳中點；寬去掉外張的衣襬
characters/jiangshi/jiangshi/attack,-4,49,92,manual,25,256,256,2026-09-03 手改：原本 130 是把前伸的雙臂算進框寬；改成跨距×1.15，跟 idle/walk 不會爆掉
characters/jiangshi/jiangshi/dead,11.5,49.5,141,auto,9,256,256,幀數 9→25 已重算
characters/jiangshi/jiangshi/idle,0,50.4,86,manual,25,256,256,2026-09-03 手改：站姿窄、自動算只取到框寬 64 偏小；寬拉到 ≈可見身高一半（對齊主角 Base 的比例）
characters/jiangshi/jiangshi/walk,1,51,86,manual,25,256,256,2026-09-03 手改：同 idle：寬對齊 Base 比例，避免換動作時影子跳大小
characters/jiangshi/maojiang/attack,-16,48,100,manual,25,256,256,2026-09-03 手改：原本 X 正值把影子推到身體右邊；改成兩腳中點，寬去掉前伸毛爪
characters/jiangshi/maojiang/dead,-1.5,46.8,185,auto,9,256,256,幀數 9→25 已重算
characters/jiangshi/maojiang/idle,0,44,99,manual,25,256,256,2026-09-03 手改：自動算只抓到近腳（毛爪垂到腳邊）→ X 用了框中心、Y 只取近腳底；改成兩腳中點 / 兩腳底平均
characters/jiangshi/maojiang/walk,3,42,98,manual,25,256,256,2026-09-03 手改：同 idle：改用兩腳中點；寬對齊可見身高一半
characters/feralborn/moonwatcher/attack,-4.8,44,123,auto,25,256,256,
characters/feralborn/moonwatcher/dead,-10,59.2,181,auto,9,256,256,幀數 9→25 已重算
characters/feralborn/moonwatcher/idle,-7,42,128,auto,25,256,256,
characters/feralborn/moonwatcher/walk,-10,58.5,157,auto,25,256,256,
characters/feralborn/werewolf/attack,-17,44.5,151,auto,25,256,256,
characters/feralborn/werewolf/dead,17.5,34.2,155,auto,9,256,256,幀數 9→25 已重算
characters/feralborn/werewolf/idle,-4,39.2,74,auto,25,256,256,
characters/feralborn/werewolf/walk,-5,55.7,149,auto,25,256,256,
monsters/butterfly/idle,9.5,60.8,162,auto,25,256,256,
monsters/butterfly/walk,9.5,60.8,162,auto,25,256,256,
monsters/family_father/idle,1.8,56,59,auto,25,256,256,
monsters/family_father/walk,-1.8,57,70,auto,25,256,256,
monsters/family_girl/idle,1.2,70,50,auto,25,256,256,
monsters/family_girl/walk,-0.5,60,70,auto,25,256,256,
monsters/family_mother/idle,0.8,58.5,52,auto,25,256,256,
monsters/family_mother/walk,0,55.5,62,auto,25,256,256,
monsters/ghost_boy/idle,-2,175.2,127,auto,1,377,661,
monsters/ghost_dog/idle,13.5,93.5,71,auto,25,256,256,
monsters/ghost_dog/walk,3.5,82.8,113,auto,25,256,256,
monsters/ghost_fatboy/idle,2,161.9,146,auto,1,408,612,
monsters/ghost_father/idle,-7.5,54.3,208,auto,1,433,577,
monsters/ghost_fatman/idle,-0.5,92.4,221,auto,1,408,612,
monsters/ghost_girl/idle,3.5,147.5,125,auto,1,408,612,
monsters/ghost_grandma/idle,-2,113.6,150,auto,1,408,612,
monsters/ghost_grandpa/idle,-1.5,101.4,177,auto,1,408,612,
monsters/ghost_mother/idle,-5.5,84,160,auto,1,433,577,
monsters/ghost_youngbrother/idle,-1.5,61.3,174,auto,1,433,577,
monsters/ghost_youngsister/idle,-1,69.8,153,auto,1,433,577,
monsters/normal_father/idle,-2,56.4,67,auto,25,256,256,
monsters/normal_father/walk,-2,54.5,69,auto,25,256,256,
monsters/normal_priest/idle,-2.5,54.1,69,auto,25,256,256,
monsters/normal_priest/walk,-1.5,53.3,80,auto,25,256,256,
monsters/redbridalgown/attack,-2.5,46.1,103,auto,25,256,256,
monsters/redbridalgown/idle,-1.5,56.5,99,auto,25,256,256,
monsters/redbridalgown/walk,-6.5,51.8,97,auto,25,256,256,
monsters/skeletongeneral/idle,-4.2,45,101,auto,25,256,256,
monsters/skeletongeneral/walk,6,44.5,112,auto,25,256,256,
monsters/zhayu/idle,4.5,37.5,131,auto,21,256,256,幀數 1→21 已重算
monsters/zhayu/walk,-3.2,44,324,auto,8,500,500,
characters/gaiaborn/gargoyle/attack,-13,55.5,136,auto,25,256,256,
characters/gaiaborn/gargoyle/dead,2,68.6,124,auto,9,256,256,幀數 9→25 已重算
characters/gaiaborn/gargoyle/idle,-0.5,55,83,auto,15,256,256,幀數 1→15 已重算
characters/gaiaborn/gargoyle/walk,-5.9,56.8,99,auto,22,256,256,
characters/gaiaborn/mountaingiant/attack,-11.2,53,165,auto,25,256,256,
characters/gaiaborn/mountaingiant/dead,6,60,120,auto,9,256,256,幀數 9→25 已重算
characters/gaiaborn/mountaingiant/idle,-3.2,47.9,144,auto,22,256,256,
characters/gaiaborn/mountaingiant/walk,-4.2,55.3,110,auto,14,256,256,幀數 1→14 已重算
characters/gaiaborn/titan/attack,-0.2,37.5,183,auto,23,256,256,
characters/gaiaborn/titan/dead,-28.5,60.2,155,auto,9,256,256,幀數 9→25 已重算
characters/gaiaborn/titan/idle,7.8,39.5,147,auto,24,256,256,
characters/gaiaborn/titan/walk,8,37,129,manual,24,256,256,2026-09-09 手改：原本 -23.8 是把左後方一段 4~5px 寬的窄剪影（拖在後面的布條／髮絲）當成第二隻腳，錨點被拉到身體後方約 33px；濾掉寬度 <10px 的段後，24 幀的真實兩腳中點中位數是 +9，對齊 idle 的 7.8 取 8，換動作時不會跳。⚠ WidthPx 129 也是被那段窄剪影撐出來的（idle 是 147），先沒動
characters/blazeborn/fafnir/attack,-13,52,132,auto,25,256,256,
characters/blazeborn/fafnir/dead,-12,73.7,178,auto,9,256,256,幀數 9→25 已重算
characters/blazeborn/fafnir/idle,8,46.5,118,manual,21,256,256,2026-09-13 三修：+8。這隻龍的剪影量不出可靠答案——最底層抓到的是拖地的尾尖、上半身重心被左後張開的翅膀拉偏、粗段法對同批人形校驗又給不出一致的校正量（+15.7/+9.5/+14.0/-2.5），所以四種量法各給一個數（-32.5/-5/-15/-3.5）。改成照作者實機回饋直接調：-15 偏左 → 往右。⚠ 要再動就以 4~8px 為一步（256px=一格），別再用演算法推
characters/blazeborn/fafnir/walk,8,46.5,119,manual,15,256,256,2026-09-13 三修：+8。這隻龍的剪影量不出可靠答案——最底層抓到的是拖地的尾尖、上半身重心被左後張開的翅膀拉偏、粗段法對同批人形校驗又給不出一致的校正量（+15.7/+9.5/+14.0/-2.5），所以四種量法各給一個數（-32.5/-5/-15/-3.5）。改成照作者實機回饋直接調：-15 偏左 → 往右。⚠ 要再動就以 4~8px 為一步（256px=一格），別再用演算法推
characters/blazeborn/nidhogg/attack,1,53.5,97,auto,25,256,256,
characters/blazeborn/nidhogg/dead,-2,74.8,132,auto,9,256,256,幀數 9→25 已重算
characters/blazeborn/nidhogg/idle,-2,50.5,91,manual,15,256,256,2026-09-13 手改：auto 算出 -36（同批素材的 base/thrall/jiao idle 都在 ±1.2 內，這是離群值）——披風/尾巴那類窄剪影被當成第二隻腳，錨點被拉到身體後方；離線量最底 8px、濾掉寬<10px 的段後，真實接地中點與 thrall/jiao 同一水準，換算回表的尺規是 -2。walk 對齊 idle，換動作時不會跳
characters/blazeborn/nidhogg/walk,-2,54,98,manual,14,256,256,2026-09-13 手改：auto 算出 -23.9（同批素材的 base/thrall/jiao idle 都在 ±1.2 內，這是離群值）——披風/尾巴那類窄剪影被當成第二隻腳，錨點被拉到身體後方；離線量最底 8px、濾掉寬<10px 的段後，真實接地中點與 thrall/jiao 同一水準，換算回表的尺規是 -2。walk 對齊 idle，換動作時不會跳
characters/blazeborn/thrall/attack,-6.8,54,94,auto,25,256,256,
characters/blazeborn/thrall/dead,-5,76.2,148,auto,9,256,256,幀數 9→25 已重算
characters/blazeborn/thrall/idle,1.2,53.5,88,auto,19,256,256,
characters/blazeborn/thrall/walk,0.8,56,96,auto,21,256,256,
characters/cloudborn/chiwen/attack,-1.8,49.5,150,auto,25,256,256,
characters/cloudborn/chiwen/dead,-19.5,70,155,auto,9,256,256,幀數 9→25 已重算
characters/cloudborn/chiwen/idle,-1,47.5,86,manual,18,256,256,2026-09-13 手改：auto 的 -25.4 是拖地的尾巴／衣襬／翅膀被當成第二隻腳。離線量「剪影上 55% 的重心」（站姿角色的腳在軀幹正下方）得 -0.7，與已驗證的 base/thrall/jiao 同一水準；同批六個角色的身體重心全部落在 ±6 內，證明錨點本來就該接近 0。attack(-1.8) 本來就正常，沒動
characters/cloudborn/chiwen/walk,-1,51,90,manual,12,256,256,2026-09-13 手改：auto 的 -19 是拖地的尾巴／衣襬／翅膀被當成第二隻腳。離線量「剪影上 55% 的重心」（站姿角色的腳在軀幹正下方）得 -0.7，與已驗證的 base/thrall/jiao 同一水準；同批六個角色的身體重心全部落在 ±6 內，證明錨點本來就該接近 0。對齊 idle
characters/cloudborn/jiao/attack,-2.2,53,80,auto,25,256,256,
characters/cloudborn/jiao/dead,-11.5,68.6,137,auto,9,256,256,幀數 9→25 已重算
characters/cloudborn/jiao/idle,-0.5,52,76,auto,15,256,256,
characters/cloudborn/jiao/walk,-4.6,55.8,80,auto,22,256,256,
characters/cloudborn/yinglong/attack,0,47,87,manual,25,256,256,2026-09-13 手改：auto 的 -22.5 是拖地的尾巴／衣襬／翅膀被當成第二隻腳。離線量「剪影上 55% 的重心」（站姿角色的腳在軀幹正下方）得 +0.1，與已驗證的 base/thrall/jiao 同一水準；同批六個角色的身體重心全部落在 ±6 內，證明錨點本來就該接近 0。attack 原本 -22.5 也被同一條尾巴騙到，一起改
characters/cloudborn/yinglong/dead,-11,71.8,159,auto,9,256,256,幀數 9→25 已重算
characters/cloudborn/yinglong/idle,0,42.5,86,manual,15,256,256,2026-09-13 手改：auto 的 -23 是拖地的尾巴／衣襬／翅膀被當成第二隻腳。離線量「剪影上 55% 的重心」（站姿角色的腳在軀幹正下方）得 +0.1，與已驗證的 base/thrall/jiao 同一水準；同批六個角色的身體重心全部落在 ±6 內，證明錨點本來就該接近 0。尾巴往左下拖地，是這批裡被騙得最兇的一個
characters/cloudborn/yinglong/walk,0,45.5,91,manual,13,256,256,2026-09-13 手改：auto 的 -17.2 是拖地的尾巴／衣襬／翅膀被當成第二隻腳。離線量「剪影上 55% 的重心」（站姿角色的腳在軀幹正下方）得 +0.1，與已驗證的 base/thrall/jiao 同一水準；同批六個角色的身體重心全部落在 ±6 內，證明錨點本來就該接近 0。對齊 idle
characters/spiritroot/divine form/attack,1.5,40.5,114,auto,25,256,256,
characters/spiritroot/divine form/dead,-6,56.1,134,auto,9,256,256,幀數 9→25 已重算
characters/spiritroot/divine form/idle,-4.5,46.7,85,auto,23,256,256,
characters/spiritroot/divine form/walk,-7.8,43,92,auto,12,256,256,
characters/spiritroot/foundation/attack,-5,54.5,64,auto,25,256,256,
characters/spiritroot/foundation/dead,4.5,70.8,99,auto,9,256,256,幀數 9→25 已重算
characters/spiritroot/foundation/idle,-1.8,54.5,62,auto,23,256,256,
characters/spiritroot/foundation/walk,-3.2,56,66,auto,22,256,256,
characters/spiritroot/nascent soul/attack,-1.5,47.4,98,auto,25,256,256,
characters/spiritroot/nascent soul/dead,0.5,55.6,91,auto,9,256,256,幀數 9→25 已重算
characters/spiritroot/nascent soul/idle,-7,49.3,89,auto,16,256,256,
characters/spiritroot/nascent soul/walk,-5.5,49.4,86,auto,20,256,256,
characters/swarmborn/parasite/attack,-5.8,49.5,126,auto,23,256,256,
characters/swarmborn/parasite/dead,10,61,120,auto,9,256,256,幀數 9→25 已重算
characters/swarmborn/parasite/idle,-3.8,34,95,auto,24,256,256,
characters/swarmborn/parasite/walk,-2,46.5,101,auto,19,256,256,
characters/swarmborn/ravager/attack,-10.5,42,142,auto,25,256,256,
characters/swarmborn/ravager/dead,8.5,70.8,179,auto,9,256,256,幀數 9→25 已重算
characters/swarmborn/ravager/idle,1.5,35.5,95,auto,21,256,256,
characters/swarmborn/ravager/walk,-4,51.8,122,auto,13,256,256,
characters/swarmborn/swarm emperor/attack,0.5,32.3,210,auto,25,256,256,
characters/swarmborn/swarm emperor/dead,-17,63.3,202,auto,9,256,256,幀數 9→25 已重算
characters/swarmborn/swarm emperor/idle,-8.5,39.1,131,manual,17,256,256,2026-09-14 手改：auto 的 -25.5 是離群值（同批的 parasite -3.8／ravager +1.5，全表其他角色都在 ±8 內）——垂到腿高的翅膀把「最低兩段」騙走了。離線拆最底帶：真正接地的是三段細腳（中心 -22／-8／+5，整體中心 -8.5），而 c-75 的翅膀要到距底 40px 才出現。演算法只取最低的兩段（-22 與 -8）所以偏左。填接地整體中心 -8.5
characters/swarmborn/swarm emperor/walk,-8.5,46.2,160,manual,11,256,256,2026-09-14 手改：對齊 idle 的 -8.5（同 nidhogg 的做法），換動作時影子不會跳；auto 的 -25.1 與 idle 同一個誤判
monsters/housekeeper/idle,-6.8,135.6,91,auto,16,512,512,
monsters/housekeeper/walk,-7.2,133.2,144,auto,12,512,512,
monsters/redbridalgown/pant,-20.5,134.3,166,auto,25,512,512,
monsters/vampiresoldier/attack,-3,58.6,123,auto,25,256,256,
monsters/vampiresoldier/idle,-1.5,64,58,auto,16,256,256,
monsters/vampiresoldier/walk,-1,64,72,auto,21,256,256,
monsters/werewolfsoldier/attack,-8,42,170,auto,24,256,256,
monsters/werewolfsoldier/idle,3.8,41.5,117,auto,17,256,256,
monsters/werewolfsoldier/walk,-11.4,48,150,auto,14,256,256,
monsters/wolf archers/attack,-15.5,49.5,205,auto,25,256,256,
monsters/wolf archers/idle,1.5,37.5,104,auto,20,256,256,
monsters/wolf archers/walk,-14.5,52.8,164,auto,14,256,256,
monsters/wolf royal guard/idle,-0.5,37.5,135,auto,17,256,256,幀數 1→17 已重算
monsters/wolf royal guard/jump,-2.8,39,161,auto,25,256,256,幀數 1→25 已重算
monsters/wolf royal guard/walk,-3,39,176,auto,12,256,256,幀數 1→12 已重算
monsters/wolf warrior/attack,-4,58,190,manual,25,256,256,同 idle 那列
monsters/wolf warrior/idle,-4,59,190,manual,23,256,256,手改：X/寬三動作統一。工具的找腳段演算法在 idle(單段) 與 walk(雙段) 抓到不同結果，X 差 25px 導致切動作時影子位移；寬差 22% 導致忽大忽小。內容水平中心實測只差 3px
monsters/wolf warrior/walk,-4,70,190,manual,17,256,256,同 idle 那列
monsters/wolf royal guard/attack,-11.6,37.3,170,auto,12,256,256,幀數 18→12 已重算
monsters/zhayu_bomb/idle,-3,41.5,180,auto,20,256,256,
monsters/zhayu_bomb/walk,-1,46.5,136,auto,15,256,256,
monsters/zhayu_gun/attack,-9.8,43,164,auto,22,256,256,
monsters/zhayu_gun/idle,3.2,41,77,auto,16,256,256,
monsters/zhayu_gun/walk,6.2,47,131,auto,14,256,256,
monsters/zhayu_hugesword/attack,23,19.5,188,auto,25,256,256,
monsters/zhayu_hugesword/idle,43.5,28.5,165,auto,21,256,256,
monsters/zhayu_hugesword/walk,1,71,144,auto,13,256,256,
monsters/buddha_hand/idle,11,120.6,526,auto,1,1254,1254,
monsters/buddha_hand/walk,11,120.6,526,auto,1,1254,1254,
